test,Abbr,unit,normalrange,group
"NGS-Focal Glomerulonephrosis panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Kallmann syndrome panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Maple syrup urine disease panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Nephronphthisis panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Pancreatitis panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Atypical hemolytic uremic syndrome panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Infertility panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Colon cacer and polyposis syndrome 
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-megaloblastic anemia panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Pheochromocytoma panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Spherocytosis panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Thrombocytopenia panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Breast ovarian cancer panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Seckel syndrome panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Central hypoventilation syndrome panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Coffin-Siris syndrome panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Hirschsprung disease panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Noonan-CFC syndrome panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Imatinib resistance mutation analysis
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-Myeloprolifrative Leukemia
",,,"Working Days: Everyday
Days to Report: ",genetic
"exome-BGI
",,,"Working Days: Everyday
Days to Report: ",genetic
" whole exome 
",WES,,"Working Days: Everyday
Days to Report: ",genetic
"exome clinical
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS -anemi fanconi
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-mitochondria panel
",,,"Working Days: Everyday
Days to Report: ",genetic
"   بررسي بيش از 200ژن NGS
",,,"Working Days: Everyday
Days to Report: ",genetic
"Hearing Loss
",,,"Working Days: Everyday
Days to Report: ",genetic
"NGS-MR
",,,"Working Days: Everyday
Days to Report: ",genetic
"ngsبررسي بيش از200ژن نفردوم
",,,"Working Days: Everyday
Days to Report: ",genetic
"بررسي بيش از200ژن نفرسومngs
]",,,"Working Days: Everyday
Days to Report: ",genetic
کارآموز ,,,"Working Days: 
Days to Report: ",genetic
مشاوره ژنتيک,,,"Working Days: Everyday
Days to Report: ",genetic
"کاريوتايپ خون با حد تفکيک 400الي450
",,,"Working Days: Everyday
Days to Report: ",genetic
"کاريوتايپ خون با حد تفکيک بالا
",kar,,"Working Days: Everyday
Days to Report: ",genetic
"کاريوتايپ فيبرو بلاست پوستي
",,,"Working Days: Everyday
Days to Report: ",genetic
"کاريوتايپ خون بندناف
",,,"Working Days: Everyday
Days to Report: ",genetic
"Amniotic fluid-Cytogenetics
",,,"Working Days: Everyday
Days to Report: ",genetic
"کاريوتايپ -AF
",,,"Working Days: Everyday
Days to Report: ",genetic
"امينوسنتز
",,,"Working Days: Everyday
Days to Report: ",genetic
"CVS-Cytogenetic
",,,"Working Days: Everyday
Days to Report: ",genetic
"کاريوتايپ پرجفتي
",,,"Working Days: Everyday
Days to Report: ",genetic
"کاريوتايپ بافت هاي solld
",,,"Working Days: Everyday
Days to Report: ",genetic
"Fanconi Anemia-karyotype
",,,"Working Days: Everyday
Days to Report: ",genetic
"Fragile x-Cytogenetic
",,,"Working Days: Everyday
Days to Report: ",genetic
"بررسي شكستگي كروموزوم– FragX (چهار كشت)
",,,"Working Days: Everyday
Days to Report: ",genetic
شكنندگي كروموزومها (فانكوني- سندروم بلوم…) (چهاركش,,,"Working Days: Everyday
Days to Report: ",genetic
"کاريوتايپ به منظور بررسي سندرم هاي شکست کورموزمي
",,,"Working Days: Everyday
Days to Report: ",genetic
"کاريوتايپ بررسي موزاييسم
",,,"Working Days: Everyday
Days to Report: ",genetic
"روش هاي نواربندي G,C,NoR band ,q
",,,"Working Days: Everyday
Days to Report: ",genetic
"بررسي Fish interphase
",,,"Working Days: Everyday
Days to Report: ",genetic
"FISH-N-Myc
",,,"Working Days: Everyday
Days to Report: ",genetic
"FISH-di George 22q11.2
",,,"Working Days: Everyday
Days to Report: ",genetic
"FISH-Microdeletion
",,,"Working Days: Everyday
Days to Report: ",genetic
"FISH-Subtelomer pter
",,,"Working Days: Everyday
Days to Report: ",genetic
"FISH-Williams
",,,"Working Days: Everyday
Days to Report: ",genetic
"FISH-Wolf-Hirsc
",,,"Working Days: Everyday
Days to Report: ",genetic
"FISH-X,Y
",,,"Working Days: Everyday
Days to Report: ",genetic
"FISH-Praderwill
",,,"Working Days: Everyday
Days to Report: ",genetic
"FISH براي هر probe  
",,,"Working Days: Everyday
Days to Report: ",genetic
"QF-PCR-Aneupoleide              
",,,"Working Days: Everyday
Days to Report: ",genetic
"MLPA-Microdeletion- physical mental disorder
",,,"Working Days: Everyday
Days to Report: ",genetic
"cell Free DNA
",,,"Working Days: Everyday
Days to Report: ",genetic
"کاريوتايپ اضافي براي هر مطالعه
",,,"Working Days: Everyday
Days to Report: ",genetic
"pgdتعيين جنسيت تاسقف4جنين
",,,"Working Days: Everyday
Days to Report: ",genetic
"pgdتعيين جنسيت هرجنين اضافه
",,,"Working Days: Everyday
Days to Report: ",genetic
"pgdبراي بررسي ترانسلوکاسسيون
",,,"Working Days: Everyday
Days to Report: ",genetic
"pgdبراي بيماريهاي مولکولي مرحله اول
",,,"Working Days: Everyday
Days to Report: ",genetic
"pgdبراي بيماري هاي مولکولي تا5جنين
",,,"Working Days: Everyday
Days to Report: ",genetic
"pgd مرحله دوم براي بيماري هاي مولکولي
",,,"Working Days: Everyday
Days to Report: ",genetic
"pgsباروشngs
",,,"Working Days: Everyday
Days to Report: ",genetic
"بررسي CNVبا روشNGS 
",,,"Working Days: Everyday
Days to Report: ",genetic
